"x","y","observed","fitted","residuals","localR2"
45935.3298,1580238.969,7.256,9.78135573237547,-2.52535573237532,0.374790306234519
-1137299.014,1446994.439,4.594,5.54632353734925,-0.952323537349234,0.556016744461946
-1106344.789,1716868.609,5.995,9.15984895090051,-3.1648489509005,0.471691528182104
-1145173.126,1281595.048,11.22,5.20546962247969,6.01453037752029,0.438576676262911
-19769.53004,1552489.359,5.388,9.38016216416764,-3.99216216416766,0.425927155164821
-1105687.482,1322860.919,1.619,3.89654967919771,-2.27754967919772,0.497415218658033
-1122169.656,1239206.469,3.842,4.76042522803798,-0.918425228037976,0.404699580964959
-813852.8469,1051129.068,10.276,7.88615417149555,2.38984582850445,0.608966343563613
-1160317.891,1126858.739,0.494,3.61220844911606,-3.11820844911606,0.263350268564204
-893102.6214,1295411.839,4.313,4.52271435689803,-0.209714356898028,0.532038654969341
-1128512.259,1281006.369,3.393,5.30909955598272,-1.91609955598272,0.447312788271866
-5662.879975,1623038.259,10.356,9.65554971989057,0.700450280109435,0.398267502812737
-1186066.734,1267232.889,1.823,7.17810078959352,-5.35510078959352,0.395022099578979
-1116586.499,1228025.208,1.333,4.86018635984064,-3.52718635984064,0.396348679083209
-1106102.322,1419121.609,7.596,7.91767614781892,-0.321676147818918,0.54857553713724
-861494.3727,2367645.259,5.499,6.83692402898417,-1.33792402898417,0.570363331209113
-1101155.21,1706391.99,4.874,8.90487424609981,-4.03087424609981,0.474990740691829
-1167627.046,1162632.478,2.759,3.19733637775635,-0.438336377756344,0.285276251674016
-1107341.573,1699358.76,3.782,8.86481290636013,-5.08281290636012,0.480193341004486
-1195782.638,1107246.809,1.12,1.49943052597911,-0.379430525979107,0.220262430648871
-1087092.316,1098736.658,1.712,2.13627092436443,-0.424270924364434,0.322716153541413
-1112903.008,1125106.419,6.509,2.34205553648732,4.16694446351268,0.307869052160858
-1101216.126,1102846.349,2.181,2.05069058356972,0.130309416430277,0.308958730962517
-701053.1743,1077183.279,2.21,1.26459826201378,0.945401737986224,0.639268338243568
-758470.8978,2333272.9,6.5,4.15224785672529,2.3477521432747,0.496080997167021
-697586.6276,1038971.328,0.93,1.69494137379514,-0.764941373795138,0.660700320483517
-1161945.812,1045937.248,2.727,2.58638473450745,0.140615265492552,0.231276328329369
-1145689.258,1053788.939,1.35,2.82446562362717,-1.47446562362717,0.248692504850421
-669689.2985,1390839.919,0.805,1.84126767162286,-1.03626767162286,0.473803271105152
-613047.3702,1769166.349,1.872,2.46987956587716,-0.597879565877173,0.362513205023226
-938008.1862,1097390.378,0.485,2.86091951963987,-2.37591951963987,0.488259284332316
-766907.5658,1164946.308,0.001,1.79827246871438,-1.79727246871438,0.578370185005135
-875741.4737,2339436.13,3.974,5.44313095952916,-1.46913095952918,0.57614751394659
-793772.4007,1227379.799,0.471,2.9170251603818,-2.4460251603818,0.552542723546484
-28597.05042,1773245.619,9.889,11.5783908940089,-1.68939089400895,0.345799234279933
-749538.4278,1312226.789,1.139,1.42451757326602,-0.285517573266029,0.52722949899475
-716318.9961,2232564.849,6.363,4.62169195496032,1.74130804503966,0.444814715319164
-723093.8634,1178081.559,1.085,0.539656825100128,0.545343174899873,0.580382451426543
-823011.514,2239871.41,9.451,4.47191285367907,4.97908714632093,0.511864543282009
-833987.3537,2281191.7,4.904,5.04914790819889,-0.14514790819888,0.534579100477665
-687906.6836,1359214.309,1.941,3.23381167579619,-1.2928116757962,0.494608041015047
-749805.8692,1085735.899,1.303,1.38358551062188,-0.0805855106218779,0.621854018738835
-759319.4303,2154308.26,3.141,4.42590523835766,-1.28490523835766,0.439860709113854
-742845.6134,2416464.179,7.046,6.70581440722674,0.340185592773276,0.488073012829585
-593343.1208,1776755.459,1.611,4.03808099530768,-2.42708099530768,0.355016100597717
-677269.9192,2289486.449,3.329,4.73005166441602,-1.40105166441602,0.434726042931776
-1219348.441,1019863.239,3.568,3.03687002325185,0.531129976748154,0.178114311471998
-904024.0181,1227785.009,1.596,2.1093534466214,-0.5133534466214,0.522187429475957
-683761.5163,2342829.289,3.105,4.90743559914251,-1.80243559914248,0.446569435980303
-751872.1534,2149318.61,5.009,4.43166498899121,0.577335011008789,0.434551040180998
-671964.1211,2056624.599,3.445,5.05399055706481,-1.60899055706481,0.380481991209655
-694988.8006,1960552.019,0.528,2.79146233383812,-2.26346233383812,0.376707935102561
-699100.9237,1262910.649,2.977,2.34745218443169,0.629547815568319,0.541043365145558
-692121.9309,2192045.4,1.395,4.83370276051317,-3.43870276051317,0.419471743716738
-643167.6357,1380024.388,1.102,1.92618208008337,-0.824182080083365,0.470252943285719
-748159.1378,2280275.009,2.352,4.31310169833297,-1.96110169833297,0.478258142345875
-855596.1231,1063850.959,7.533,4.5219714241102,3.0110285758898,0.573717857158774
-803581.6764,2324517.859,6.903,6.71246097327788,0.190539026722115,0.525539017037965
-782733.2108,2295086.82,3.489,3.99599627942007,-0.506996279420068,0.504898648702882
-707763.5692,1727520.029,1.11,2.26368667492642,-1.15368667492641,0.391901652496185
-859798.6063,2469723.549,8.328,10.9640820529399,-2.63608205293986,0.564483186145984
-708176.8405,1703523.219,4.624,3.29565703080145,1.32834296919855,0.394821826446045
-672528.2008,2091830.419,4.974,4.63453148295048,0.339468517049502,0.386596985744988
-575312.6843,1713733.259,4.974,4.99366529725172,-0.0196652972517127,0.352587084753778
-723826.651,1047806.969,0.677,0.507699570201444,0.169300429798552,0.65001091710571
-837464.0837,1407422.949,2.884,3.80613030192473,-0.922130301924727,0.51062932630013
-1185457.101,1139930.019,0.851,1.71054925729374,-0.859549257293746,0.250460815378793
-695217.3386,2319009.46,3.039,4.3090552970652,-1.27005529706518,0.451335331174207
-801916.1664,2242073.929,4.594,5.60296598767615,-1.00896598767615,0.499810979562363
-747482.811,2306379.36,3.57,4.04801843336491,-0.478018433364922,0.483924014488315
-675431.9913,2116206.279,6.979,4.12129698499301,2.857703015007,0.39261816529698
-238825.29,1747447.539,6.325,6.65100145317551,-0.326001453175493,0.417096257862008
-759789.5666,2097084.399,10.72,5.74206351182823,4.97793648817177,0.418172092218129
-824899.7468,1425187.508,4.084,5.62717839074327,-1.54317839074327,0.502007596681335
-576448.0759,1738838.329,1.542,2.32138436429948,-0.779384364299498,0.351289973575806
-582685.9206,1614576.58,4.086,4.17055982150788,-0.084559821507884,0.364438173531923
-493093.9064,1874031.599,1.015,4.76067851283847,-3.74567851283847,0.312003992406644
-642451.0675,1713758.369,1.897,3.04881364834912,-1.15181364834912,0.376174349547496
-648382.3303,1546198.139,3.113,3.66715774583956,-0.554157745839549,0.403355362234593
-664718.6975,1323947.468,2.519,3.26476418434164,-0.74576418434164,0.505524939752529
-858491.6511,2445314.77,13.758,11.0909302653719,2.66706973462811,0.566827245333686
-821484.9874,2357205.47,4.518,3.87622148176888,0.641778518231125,0.542526896822521
-459660.9393,1783421.259,3.9,5.20658763311706,-1.30658763311708,0.32072306663937
-653282.5457,1752158.119,3.075,3.33934014744082,-0.264340147440803,0.3764456303198
-704442.0984,2432000.649,13.007,9.06912348484723,3.93787651515277,0.459720361298624
-795275.6193,1450984.609,6.088,4.7405716014451,1.3474283985549,0.48507119871297
-750759.1596,1881917.299,1.309,5.74032895063453,-4.43132895063453,0.383109331811802
-1072047.763,1133640.549,2.649,3.20960207718509,-0.560602077185089,0.354333267765199
